Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,94148","-7,6988E-08","0,92711",0,0,0,1000,"1152,4","0,00030978","23,035","1102,3","-5,1614E-05","320,85",0,0,0,0,0,0,package://forklift_urdf/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/base_link.STL,,base-1,base_link_tf,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_lidar_link,"-6,9389E-18",0,"6,9389E-18",0,0,0,"0,28464","4,8105E-05","-4,5139E-36","9,5557E-09","4,8105E-05","9,2387E-38","6,8884E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/left_lidar_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/left_lidar_link.STL,,лидар-3,left_lidar_tf,Axis_left_lidar_joint,left_lidar_joint,continuous,"1,27295476942974","0,418116775610435","0,0239999999999846",0,"-0,000459874311882969",0,base_link,"0,000459874295673651",0,"0,999999894257811",,,,,,,,,,,,
right_lidar_link,"-6,9389E-18","-5,5511E-17","6,9389E-18",0,0,0,"0,28464","4,8105E-05","6,6884E-53","3,7885E-22","4,8105E-05","1,4522E-37","6,8884E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/right_lidar_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/right_lidar_link.STL,,лидар-4,right_lidar_tf,Axis_right_lidar_joint,right_lidar_joint,continuous,"1,27295476942975","-0,418116775610423","0,0239999999999846",0,0,0,base_link,0,0,1,,,,,,,,,,,,
rear_lidar_link,0,0,"0,012",0,0,0,"0,28464","4,8105E-05","-6,0185E-36","6,2789E-37","4,8105E-05","-2,0758E-37","6,8884E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/rear_lidar_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/rear_lidar_link.STL,,лидар-2,rear_lidar_tf,Axis_rear_lidar_joint,rear_lidar_joint,fixed,"0,705969649244955",0,"0,0559999999999846",0,"0,000459874311882969","-3,14159265358978",base_link,0,0,0,,,,,,,,,,,,
up_lidar_link,0,0,0,0,0,0,"0,284643374059973","4,81274052613001E-05","1,31890466162261E-35","6,86039242171329E-07","4,81047302161354E-05","-3,03755087092172E-36","6,88610214773487E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/up_lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/up_lidar_link.STL,,лидар-6,up_lidar_tf,Axis_up_lidar_joint,up_lidar_joint,fixed,"1,12608148221207",0,"1,98742227080532",0,"-0,0334999573301522",0,base_link,0,0,0,,,,,,,,,,,,
3d_lidar_link,"-0,04","-1,65556789141244E-18","2,22044604925031E-16",0,0,0,"3,0576","0,00249703999999999","2,84905452540826E-19","-2,16840434497101E-19","0,00287924","-3,13920448401802E-19","0,00287924",0,0,0,0,0,0,package://forklift_urdf/meshes/3d_lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/3d_lidar_link.STL,,3длидар-1,3d_lidar_tf,Axis_3d_lidar_joint,3d_lidar_joint,fixed,"1,25994093768194",0,"1,80699999999998",0,"0,349065850398863",0,base_link,0,0,0,,,,,,,,,,,,
fork_left_wheel_link,0,"1,73472347597681E-18",0,0,0,0,"2,74449534217604","0,00221846706825897","6,44168556386896E-20","8,80104428298725E-21","0,00221846706825897","-2,28461613208865E-20","0,00219559627374084",0,0,0,0,0,0,package://forklift_urdf/meshes/fork_left_wheel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/fork_left_wheel_link.STL,,колесо под вилы-3,fork_left_wheel_tf,fork_left_wheel_axis,fork_left_wheel_joint,continuous,0,"0,2",0,"1,5708","-0,00045987",0,base_link,0,0,1,,,,,,,,,,,,
fork_right_wheel_link,"-2,22044604925031E-16","3,46944695195361E-18","2,77555756156289E-17",0,0,0,"2,74449534217604","0,00221846706825897","3,66129991450671E-20","-2,44262349268226E-19","0,00221846706825897","-2,19879982597049E-20","0,00219559627374084",0,0,0,0,0,0,package://forklift_urdf/meshes/fork_right_wheel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/fork_right_wheel_link.STL,,колесо под вилы-1,fork_right_wheel_tf,fork_right_wheel_axis,fork_right_wheel_joint,continuous,0,"-0,2",0,"1,5708","-0,00045987",0,base_link,0,0,1,,,,,,,,,,,,
fork_link,"0,20613","1,3173E-13","0,16012",0,0,0,"109,28","7,0019","-4,1494E-13","2,401","14,74","9,8772E-14","18,824",0,0,0,0,0,0,package://forklift_urdf/meshes/fork_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/fork_link.STL,,вилы-1,fork_tf,fork_axis,fork_joint,prismatic,"0,697",0,"-0,01",0,"0,00045987","-3,1416",base_link,0,0,-1,0,0,0,1,,,,,,,,
camera_link,"-0,0125000000000033","1,25403778269255E-13","-9,43689570931383E-16",0,0,0,"1,1505","0,001574651","-3,81473760349349E-19","-1,05515558313288E-20","0,000299609375","-1,03094594493258E-19","0,001394885375",0,0,0,0,0,0,package://forklift_urdf/meshes/camera_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/camera_link.STL,,камера глубины-1,camera_tf,,camera_joint,fixed,"0,04",0,"0,395",0,0,0,fork_link,0,0,0,,,,,,,,,,,,
left_steering_link,"1,37962288702387E-05",0,"0,0299999968277342",0,0,0,"0,330809706423005","0,000117850940860182","1,322946336317E-40","-3,70818982600544E-08","0,000117850957913196","2,87675612416745E-37","3,72161090256018E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/left_steering_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/left_steering_link.STL,,ось-1,left_steering_tf,left_steering_axis,left_steering_joint,revolute,"1,065","0,258","0,235",0,"-0,00045987",0,base_link,"0,00045987",0,1,0,0,"-31,416","31,416",,,,,,,,
left_wheel_link,0,0,0,0,0,0,"19,1134497044403","0,057474143261252","-5,16920490786777E-18","1,68354359518156E-23","0,057474143261252","2,19872438968088E-18","0,0955672485222015",0,0,0,0,0,0,package://forklift_urdf/meshes/left_wheel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/left_wheel_link.STL,,колесо ведомое-2,left_wheel_tf,left_front_wheel_axis,left_wheel_joint,continuous,"-0,066113",0,"-0,17497","1,5708",0,0,left_steering_link,0,0,1,,,,,,,,,,,,
right_steering_link,"1,37962288702109E-05",0,"0,0299999968277342",0,0,0,"0,330809706423005","0,000117850940860182","1,322946336317E-40","-3,70818982600544E-08","0,000117850957913196","2,87675612416745E-37","3,72161090256018E-05",0,0,0,0,0,0,package://forklift_urdf/meshes/right_steering_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/right_steering_link.STL,,ось-2,right_steering_tf,right_steering_axis,right_steering_joint,revolute,"1,07","-0,264","0,235",0,"-0,00045987",0,base_link,"0,00045987",0,1,0,0,"-3,1416","3,1416",,,,,,,,
right_wheel_link,0,"-1,38777878078145E-17",0,0,0,0,"38,2881604656256","0,181469927206871","1,97324795392362E-17","3,10993926085734E-18","0,181469927206871","1,95059178163127E-18","0,2991262536377",0,0,0,0,0,0,package://forklift_urdf/meshes/right_wheel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://forklift_urdf/meshes/right_wheel_link.STL,,колесо ведущее-3,right_wheel_tf,right_front_wheel_axis,right_wheel_joint,continuous,"-6,8981E-05",0,"-0,15","1,5708",0,0,right_steering_link,0,0,1,,,,,,,,,,,,
